Can I put my balls-,English,Spanish
,,
new_Intro1-1,"A long time ago, 2 particular clans existed.",
new_Intro1-2,"They started off living rather quiet and peaceful lives, separate from each other.",
new_Intro1-3,But both possessed an ancient power.,
new_Intro1-4,"""TENSION"".",
new_Intro1-5,A type of energy that derives solely from one's SOUL.,
new_Intro1-6,"It can then be manifested into any form the user desires, among other things.",
new_Intro1-7,"However one of the clans, self-dubbed the ""Defective"" clan, were unable to access a basic human aspect.",
new_Intro1-8,"""ADRENALINE"".",
new_Intro1-9,A primordial essence derived purely of instinct.,
new_Intro1-10,"Blood pressure rises, limits unbounded, pain subsides...",
new_Intro1-11,TENSION unlimited.,
new_Intro1-12,Transformations possible.,
new_Intro1-13,"""Immortal"". That's how many would describe it.",
new_Intro1-14,Hearing that convinced the Defective clan...,
new_Intro1-15,They wanted nothing more than to harness that power.,
new_Intro1-16,The first shift upon this world.,
,,
new_Intro2-1,"One day, a full-on attack against the other clan, dubbed the ""Adrenaline"" clan, took place.",
new_Intro2-2,Many perished. Some fought back. Few were able to run away.,
new_Intro2-3,"Despite the Defective clan lacking ADRENALINE, they made up for it by being stronger overall.",
new_Intro2-4,"With that, they almost wipe out the Adrenaline clan.",
new_Intro2-5,Any fresh blood spilled was then harvested.,
new_Intro2-6,"To which they injected them into their bloodstream, allowing them access to ADRENALINE.",
new_Intro2-7,"As time went on, more and more of the Adrenaline clan were hunted down.",
new_Intro2-8,"But at the same time, more of the Defective clan kept dying.",
new_Intro2-9,"Their bodies, not built to handle ADRENALINE, end up melting.",
new_Intro2-10,"With the defective clan also brought to the brink, the slaughter stops.",
new_Intro2-11,"Because of this, as centuries go by, both clans regrow and rebuild.",
new_Intro2-12,"Unfortunately, TENSION got lost to time.",
new_Intro2-13,Everything felt stagnate.,
new_Intro2-14,"But then, two beings...",
new_Intro2-15,A boy. A girl.,
,,
new_Intro3-1,These two...,
new_Intro3-2,Descendants of their clans.,
new_Intro3-3,7 years before now...,
new_Intro3-4,They unknowingly crossed paths.,
new_Intro3-5,Which caused the first shift of the world since generations ago.,
new_Intro3-6,"With it, TENSION resurfaced.",
new_Intro3-7,Both of them being the originators.,
new_Intro3-8,Then helping their peers awaken their own TENSION.,
new_Intro3-9,This ancient art has now become second-nature to many.,
new_Intro3-10,"Unfortunately, this shift is a monkey's paw.",
new_Intro3-11,The Defective clan has risen once more.,
new_Intro3-12,And they plan on killing more to develop a new ADRENALINE.,
new_Intro3-13,You must stop them.,
new_Intro3-14,But before you do...,
,,
new_Intro4-1,Appreciated.,
new_Intro4-2,That name is familiar...,
new_Intro4-3,Interesting...,
new_Intro4-4,"Regardless, it is appreciated.",
new_Intro4-5,Thank you.,
new_Intro4-6,Many roadblocks are ahead.,
new_Intro4-7,But you shall persevere.,
new_Intro4-8,Welcome to...,
